idcongregation,congregation_name,translation,year_est,rite,idbuildings,building_name,bld_lat,bld_long,bld_city,bld_state,bld_country,yr_start,year_opened,year_opened_acc,yr_end,year_nonextant,year_non_acc,cong_lat,cong_long,cong_city,cong_state,cong_country,region,notes,idcitation,cit_short,citation,pg
1,"Beth Jacob","House of Jacob",1602,sephardic,136,"Beth Jacob",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1614,1614,accurate,1639,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe",NULL,NULL,NULL,NULL,NULL
2,"Neveh Shalom","Abode of Peace",1608,sephardic,137,"Neveh Shalom",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1612,1612,accurate,1639,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe",NULL,NULL,NULL,NULL,NULL
3,"Beth Israel","House of Israel",1618,sephardic,138,"Beth Israel",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1618,1618,accurate,1639,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe",NULL,NULL,NULL,NULL,NULL
4,"Talmud Torah","Study of the Torah",1638,sephardic,6,"Talmud Torah, Portuguese Synagogue I",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1639,1639,accurate,1931,1931,accurate,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe",NULL,NULL,NULL,NULL,NULL
4,"Talmud Torah","Study of the Torah",1638,sephardic,4,"Esnoga, Talmud Torah II",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1675,1675,accurate,2021,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe",NULL,NULL,NULL,NULL,NULL
5,"Zur Israel","Rock of Israel",1637,sephardic,38,"Zur Israel Synagogue",-8.054074,-34.8708494,Recife,Pernambuco,Brazil,1640,1641,estimate,1654,1900,estimate,-8.054074,-34.8708494,Recife,Pernambuco,Brazil,"South America",NULL,16,"Böhm, 1988","Böhm, Günter. 1988. “The First Sephardic Synagogues in South America and in the Caribbean Area.” Studia Rosenthaliana 22 (1): 1–14.",3
5,"Zur Israel","Rock of Israel",1637,sephardic,109,"Magen Abraham",-8.054074,-34.8708494,Mauricia,Pernambuco,Brazil,1648,1648,estimate,1653,1653,estimate,-8.054074,-34.8708494,Recife,Pernambuco,Brazil,"South America",NULL,16,"Böhm, 1988","Böhm, Günter. 1988. “The First Sephardic Synagogues in South America and in the Caribbean Area.” Studia Rosenthaliana 22 (1): 1–14.",3
7,"Nidhe Israel","Scattered of Israel",1654,sephardic,13,"Nidhe Israel",13.0968511,-59.61448189999999,Bridgetown,NULL,Barbados,1654,1654,accurate,1831,1831,accurate,13.0968511,-59.61448189999999,Bridgetown,NULL,Barbados,Caribbean,NULL,NULL,NULL,NULL,NULL
7,"Nidhe Israel","Scattered of Israel",1654,sephardic,97,"Nidhe Israel",13.0968511,-59.61448189999999,Bridgetown,NULL,Barbados,1833,1833,accurate,2021,0,,13.0968511,-59.61448189999999,Bridgetown,NULL,Barbados,Caribbean,NULL,NULL,NULL,NULL,NULL
8,"Semah David","Branch of David",1660,sephardic,105,"Semah David Synogogue",13.253123,-59.637713399999996,Speightstown,NULL,Barbados,1660s-1670s,1665,estimate,1739,1739,accurate,13.253123,-59.637713399999996,Speightstown,NULL,Barbados,Caribbean,"not seperate congregation from Nidhe Israel",NULL,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,16,"First Synagogue Curacao, Mikve Israel I",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1674,1674,accurate,1692,1692,accurate,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,NULL,NULL,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,113,"Mikve Israel II",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1692,1692,accurate,1703,1703,accurate,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,NULL,NULL,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,114,"Mikve Israel III",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1703,1703,accurate,1730,1730,accurate,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,NULL,NULL,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,43,"Mikve Israel Synagogue (IV)",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1732,1732,accurate,2021,0,,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,NULL,NULL,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,117,"Neve Shalom",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1746,1746,accurate,1818,1864,accurate,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,NULL,NULL,NULL,NULL,NULL
10,"Kahal Kadosh Neve Zedek","Abode (Dwelling Place) of Justice",1684,sephardic,111,"Neve Zedek I",17.93676689999999,-76.84110379999998,"Port Royal",NULL,Jamaica,1684,1684,estimate,1692,1692,accurate,17.93676689999999,-76.84110379999998,"Port Royal",NULL,Jamaica,Caribbean,"Information from the tombstone of Rev. Haham Jeosuah (Joshua) Hisquiau deCordova",96,"Andrade, 1941","Andrade, Jacob A.P.M. 1941. A Record of the Jews in Jamaica from the English Conquest to the Present Times. Kingston  Jamaica: Jamaica Times Ltd.
",39
10,"Kahal Kadosh Neve Zedek","Abode (Dwelling Place) of Justice",1684,sephardic,112,"Neve Zedek II",17.93676689999999,-76.84110379999998,"Port Royal",NULL,Jamaica,1719,1719,estimate,1815,1815,estimate,17.93676689999999,-76.84110379999998,"Port Royal",NULL,Jamaica,Caribbean,"Information from the tombstone of Rev. Haham Jeosuah (Joshua) Hisquiau deCordova",96,"Andrade, 1941","Andrade, Jacob A.P.M. 1941. A Record of the Jews in Jamaica from the English Conquest to the Present Times. Kingston  Jamaica: Jamaica Times Ltd.
",39
11,"Congregation Nevis",NULL,1684,sephardic,107,"Synagogue Nevis",17.1374798,-62.623663299999976,Charlestown,NULL,Nevis,1684,1684,accurate,1772,1772,accurate,17.1374798,-62.623663299999976,Charlestown,NULL,Nevis,Caribbean,NULL,NULL,NULL,NULL,NULL
12,"Congregation Cassipora",NULL,1666,sephardic,42,"Synagogue Cassipora",5.3972081,-54.944664999999986,Cassipora,NULL,Suriname,1671,1671,accurate,1685,1685,accurate,5.3972081,-54.944664999999986,Cassipora,NULL,Suriname,"South America","date of cemetery",NULL,NULL,NULL,NULL
13,"Berakha ve Shalom","Blessing and Peace",1685,sephardic,17,"Berakha ve Shalom Synagogue",5.417798,-54.96421800000002,Jodensavanne,NULL,Suriname,1685,1685,accurate,1832,1832,estimate,5.417798,-54.96421800000002,Jodensavanne,NULL,Suriname,"South America",NULL,NULL,NULL,NULL,NULL
13,"Berakha ve Shalom","Blessing and Peace",1685,sephardic,35,"Neveh Shalom Synagogue",5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,1719,1719,accurate,1735,1835,accurate,5.417798,-54.96421800000002,Jodensavanne,NULL,Suriname,"South America",NULL,NULL,NULL,NULL,NULL
14,"Kahal Kadosh Sha'ar Hashamayim","Gates of Heaven",1656,sephardic,1,"Creechurch Lane Synagogue",51.5073509,-0.12775829999998223,London,NULL,England,1657,1657,accurate,1675,1674,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","Bevis Marks",NULL,NULL,NULL,NULL
14,"Kahal Kadosh Sha'ar Hashamayim","Gates of Heaven",1656,sephardic,2,"Creechurch Lane Synagogue [1675]",51.5073509,-0.12775829999998223,London,NULL,England,1675,1675,accurate,1701,0,,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","Bevis Marks",NULL,NULL,NULL,NULL
14,"Kahal Kadosh Sha'ar Hashamayim","Gates of Heaven",1656,sephardic,0,"Bevis Marks Synagogue",51.5073509,-0.12775829999998223,London,NULL,England,1701,1701,accurate,2021,0,,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","Bevis Marks",NULL,NULL,NULL,NULL
15,"Kahal Kadosh Neve Shalom","Abode (Dwelling Place) of Peace",1692,sephardic,39,"Neveh Shalom Synagogue",18.0193171,-76.97582740000001,"Spanish Town",NULL,Jamaica,1704,1704,accurate,1900,1907,accurate,18.0193171,-76.97582740000001,"Spanish Town",NULL,Jamaica,Caribbean,"founded 5452",96,"Andrade, 1941","Andrade, Jacob A.P.M. 1941. A Record of the Jews in Jamaica from the English Conquest to the Present Times. Kingston  Jamaica: Jamaica Times Ltd.
",40
16,"Kahal Kadosh Shaar Ha Shamaim","Gates of Heaven",1693,sephardic,115,"Shaar Ha Shamaim I",18.0178743,-76.80990409999998,Kingston,NULL,Jamaica,1704,1704,estimate,1744,1744,accurate,18.0178743,-76.80990409999998,Kingston,NULL,Jamaica,Caribbean,"probably founded soon after 1692 Port Royal Earhtquake",96,"Andrade, 1941","Andrade, Jacob A.P.M. 1941. A Record of the Jews in Jamaica from the English Conquest to the Present Times. Kingston  Jamaica: Jamaica Times Ltd.
",46
16,"Kahal Kadosh Shaar Ha Shamaim","Gates of Heaven",1693,sephardic,19,"Shaar Ha Shamaim Synagogue (II)",18.0178743,-76.80990409999998,Kingston,NULL,Jamaica,1744,1744,accurate,1882,1882,accurate,18.0178743,-76.80990409999998,Kingston,NULL,Jamaica,Caribbean,"probably founded soon after 1692 Port Royal Earhtquake",96,"Andrade, 1941","Andrade, Jacob A.P.M. 1941. A Record of the Jews in Jamaica from the English Conquest to the Present Times. Kingston  Jamaica: Jamaica Times Ltd.
",46
17,"Santa Irmandad","Holy Brotherhood",1710,sephardic,116,"Santa Irmandad",10.797778,-68.3175,Tucacas,NULL,Venezuala,1710,1710,estimate,1720,1720,accurate,10.797778,-68.3175,Tucacas,NULL,Venezuala,"South America",NULL,NULL,NULL,NULL,NULL
18,"Neve Shalom","Abode of Peace",1735,ashkenazi,35,"Neveh Shalom Synagogue",5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,1735,1719,accurate,1835,1835,accurate,5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,"South America","ashkenazi starting 1735",NULL,NULL,NULL,NULL
18,"Neve Shalom","Abode of Peace",1735,ashkenazi,100,"Neve Shalom",5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,1835,1837,accurate,2021,0,,5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,"South America","ashkenazi starting 1735",NULL,NULL,NULL,NULL
19,"Shearith Israel","Remnant of Israel",1654,sephardic,33,"Mill Street Synagogue, Shearith Israel I",40.7127753,-74.0059728,"New York","New York","United States",1730,1730,accurate,1818,1818,accurate,40.7127753,-74.0059728,"New York","New York","United States","North America",NULL,NULL,NULL,NULL,NULL
19,"Shearith Israel","Remnant of Israel",1654,sephardic,129,"Shearith Israel (II)",40.7127753,-74.0059728,"New York","New York","United States",1818,1818,accurate,1833,1833,accurate,40.7127753,-74.0059728,"New York","New York","United States","North America",NULL,NULL,NULL,NULL,NULL
19,"Shearith Israel","Remnant of Israel",1654,sephardic,103,"Shearith Israel",40.7127753,-74.0059728,"New York","New York","United States",1897,1897,accurate,2021,0,,40.7127753,-74.0059728,"New York","New York","United States","North America",NULL,NULL,NULL,NULL,NULL
20,"Zedek ve Shalom","Justice and Peace",1735,sephardic,36,"Tzedek ve-Shalom Synagogue",5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,1735,1735,accurate,1999,0,,5.852035499999999,-55.2038278,Paramaribo,NULL,Suriname,"South America",NULL,NULL,NULL,NULL,NULL
21,"Honen Dalim","Charitable to the Poor",1737,sephardic,41,"Honen Dalim Synagogue I",17.4867485,-62.976497800000004,Orangjestad,NULL,"St. Eustatius",1739,1739,accurate,1772,1772,accurate,17.4867485,-62.976497800000004,Orangjestad,NULL,"St. Eustatius",Caribbean,NULL,NULL,NULL,NULL,NULL
21,"Honen Dalim","Charitable to the Poor",1737,sephardic,134,"Honen Dalim Synagogue II",17.4867485,-62.976497800000004,Orangjestad,NULL,"St. Eustatius",1772,1773,accurate,1800,1800,estimate,17.4867485,-62.976497800000004,Orangjestad,NULL,"St. Eustatius",Caribbean,NULL,NULL,NULL,NULL,NULL
22,"Neve Shalom","Abode of Peace",1732,sephardic,139,"Neve Shalom I",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1732,1732,accurate,1734,0,,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,"Branch of Mikve Israel congregation, Otrobanda neighborhood",21,"Maduro, 1982","Maduro, René, ed. 1982. Our “Snoa”, 5492-5742. Willemstad, Curaçao: Congregation Mikvé Isreal-Emmanuel Curaçao.",58
22,"Neve Shalom","Abode of Peace",1732,sephardic,140,"Neve Shalom II",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1734,1734,accurate,1746,0,,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,"Branch of Mikve Israel congregation, Otrobanda neighborhood",21,"Maduro, 1982","Maduro, René, ed. 1982. Our “Snoa”, 5492-5742. Willemstad, Curaçao: Congregation Mikvé Isreal-Emmanuel Curaçao.",58
22,"Neve Shalom","Abode of Peace",1732,sephardic,117,"Neve Shalom",12.1047416,-68.9326698,Willemstad,NULL,Curacao,1746,1746,accurate,1818,1864,accurate,12.1047416,-68.9326698,Willemstad,NULL,Curacao,Caribbean,"Branch of Mikve Israel congregation, Otrobanda neighborhood",21,"Maduro, 1982","Maduro, René, ed. 1982. Our “Snoa”, 5492-5742. Willemstad, Curaçao: Congregation Mikvé Isreal-Emmanuel Curaçao.",58
23,"Shaar Hashamayim","Gates of Heaven",1749,sephardic,118,"Shaar Hashamayim I",36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom",1749,1749,accurate,1766,1766,accurate,36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom","Southern Europe",NULL,NULL,NULL,NULL,NULL
23,"Shaar Hashamayim","Gates of Heaven",1749,sephardic,119,"Shaar Hashamayim II",36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom",1768,1768,accurate,1781,1781,accurate,36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom","Southern Europe",NULL,NULL,NULL,NULL,NULL
23,"Shaar Hashamayim","Gates of Heaven",1749,sephardic,120,"Shaar Hashamayim III, Great Synagogue of Gibraltar",36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom",1783,1783,accurate,2021,0,,36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom","Southern Europe",NULL,NULL,NULL,NULL,NULL
24,"Jeshuat Israel","Salvation of Israel",1758,sephardic,34,"Touro Synagogue",41.4901024,-71.31282850000002,Newport,"Rhode Island","United States",1763,1763,accurate,1822,0,,41.4901024,-71.31282850000002,Newport,"Rhode Island","United States","North America","Touro Synagogue",NULL,NULL,NULL,NULL
25,"Nephuse Israel","Scattered of Israel",1658,sephardic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2021,NULL,NULL,41.4901024,-71.31282850000002,Newport,"Rhode Island","United States","North America",NULL,NULL,NULL,NULL,NULL
26,"Mikveh Israel","Hope of Israel",1740,sephardic,125,"Mikveh Israel",39.9525839,-75.16522150000003,Philadelphia,Pennsylvania,"United States",1782,1782,accurate,1825,1825,accurate,39.9525839,-75.16522150000003,Philadelphia,Pennsylvania,"United States","North America","date of Spruce St cemetery",NULL,NULL,NULL,NULL
27,"Beth Elohim","House of God",1749,sephardic,14,"Beth Elohim Synagogue",32.7764749,-79.93105120000001,Charleston,"South Carolina","United States",1794,1794,accurate,1838,1838,accurate,32.7764749,-79.93105120000001,Charleston,"South Carolina","United States","North America",NULL,NULL,NULL,NULL,NULL
27,"Beth Elohim","House of God",1749,sephardic,101,"Beth Elohim",32.7764749,-79.93105120000001,Charleston,"South Carolina","United States",1841,1841,accurate,2021,0,,32.7764749,-79.93105120000001,Charleston,"South Carolina","United States","North America",NULL,NULL,NULL,NULL,NULL
28,"Rodeph Shalom",NULL,1795,ashkenazi,37,"Rodeph Shalom",39.9525839,-75.16522150000003,Philadelphia,Pennsylvania,"United States",1795,1795,accurate,2021,1855,accurate,39.9525839,-75.16522150000003,Philadelphia,Pennsylvania,"United States","North America",NULL,NULL,NULL,NULL,NULL
30,"Congregation St. Croix",NULL,1764,sephardic,108,"Synagogue St. Croix",17.744077,-64.704155,Christiansted,NULL,"St. Croix",1764,1764,accurate,1765,1765,accurate,17.744077,-64.704155,Christiansted,NULL,"St. Croix",Caribbean,NULL,4,"Gallery, 2016","Gallery, Wyatt, Stanley Mirvis, and Jonathan D. Sarna. 2016. Jewish Treasures of the Caribbean: The Legacy of Judaism in the New World. Atglen, PA: Schiffer Publishing Ltd.",232
